"","DiffEvent","Diffmean","DiffSD","Diffmin","Diffmax","DiffN","DiffProp","Var"
"1","Foraging",0.326512755382629,0.0964333819585834,0.139813274145126,0.465596199035645,21,0.333333333333333,"Groom"
"2","Resting",0.268429496884346,0.112391997036815,0.146643459796906,0.380184561014175,5,0.0793650793650794,"Groom"
"3","Travelling",0.335410950957118,0.0855092379418411,0.150132149457932,0.484335005283356,37,0.587301587301587,"Groom"
"4","Foraging",0.337801805857954,0.0929668271031792,0.142127960920334,0.478805482387543,29,0.557692307692308,"Rest"
"5","Grooming",0.271770184690302,0.0790344967559488,0.138846039772034,0.438693761825562,11,0.211538461538462,"Rest"
"6","Travelling",0.256042854239543,0.0827801111449078,0.141135886311531,0.392668306827545,12,0.230769230769231,"Rest"
"7","Foraging",0.340001933997677,0.0840789457209799,0.14665450155735,0.496426105499268,124,0.779874213836478,"Travel"
"8","Grooming",0.266669231432456,0.0897428611906171,0.130632773041725,0.473405838012695,27,0.169811320754717,"Travel"
"9","Resting",0.335626360028982,0.0923209941368338,0.202406957745552,0.44864022731781,8,0.050314465408805,"Travel"
"10","Grooming",0.304518626736743,0.0999190138800691,0.111880421638489,0.469920217990875,28,0.145833333333333,"Forage"
"11","Resting",0.306681341745637,0.0847931681149513,0.162627726793289,0.44628769159317,22,0.114583333333333,"Forage"
"12","Travelling",0.337615674755103,0.0851711944612865,0.15336237847805,0.494084149599075,142,0.739583333333333,"Forage"
